,senate,district,name,educcmte,reppercent,strata,newtreat,numbercalls,finalvote,anytreat,close,female,term,wnominate,democrat,extreme,lastterm,intended,cohort,
74,1,23,"Whitmer, Gretchen",0,0.360111624,4,0,0,1,0,0.139888376,1,3,-0.651000023,1,0.651000023,1,0,2006,*OtherChamberSince02
75,0,60,Sean McCann,0,0.366979182,1,0,0,1,0,0.133020818,0,1,-0.628000021,1,0.628000021,0,0,2010,
76,0,37,Vicki Barnett,0,0.378426135,3,0,0,1,0,0.121573865,1,2,-0.841000021,1,0.841000021,0,0,2008,
77,0,82,Kevin Daley,0,0.707734585,11,0,0,1,0,0.207734585,0,2,0.808000028,0,0.808000028,0,0,2008,
78,0,72,Ken Yonker,1,0.72901237,8,0,0,1,0,0.22901237,0,1,0.808000028,0,0.808000028,0,0,2010,
79,0,56,Dale W. Zorn,0,0.527720392,8,0,0,1,0,0.027720392,0,1,0.808000028,0,0.808000028,0,0,2010,
80,1,13,"Pappageorge, John",0,0.592692614,9,0,0,1,0,0.092692614,0,2,0.879000008,0,0.879000008,0,0,2006,
81,0,101,Ray A. Franz,1,0.511760533,8,0,0,0,0,0.011760533,0,1,0.964999974,0,0.964999974,0,0,2010,
82,1,3,"Hood, Morris W III",0,0.214780718,2,0,0,1,0,0.285219282,0,1,-0.985000014,1,0.985000014,0,0,2010,
83,0,30,Jeff Farrington,0,0.557200551,8,0,0,1,0,0.057200551,0,1,0.808000028,0,0.808000028,0,0,2010,
84,1,7,"Colbeck, Patrick",1,0.561504006,9,0,0,1,0,0.061504006,0,1,0.843999982,0,0.843999982,0,0,2010,
85,0,39,Lisa Brown,1,0.498742253,6,0,0,1,0,0.001257747,1,2,-0.994000018,1,0.994000018,0,0,2008,
86,0,58,Kenneth Kurtz,0,1,11,0,0,0,0,0.5,0,2,0.787999988,0,0.787999988,0,0,2008,
87,0,13,Andrew J. Kandrevas,0,0.458289266,6,0,0,1,0,0.041710734,0,2,-0.628000021,1,0.628000021,0,0,2008,
88,0,64,Earl Poleski,0,0.592181921,8,0,0,0,0,0.092181921,0,1,0.808000028,0,0.808000028,0,0,2010,
89,1,35,"Booher, Darwin L",0,0.646315575,9,0,0,1,0,0.146315575,0,1,0.787,0,0.787,0,0,2010,*OtherChamberSince08
