leg_state	leg_chamber	leg_party	leg_gender	leg_latino	leg_native	leg_arab	leg_asian	leg_white	leg_black	leg_nonblackminority	treat_out	outcitiesisausedoutcity	code_some_response_given	totalpop	whitepop	blackpop	nativepop	asianpop	islanderp	otherrace	hispanicp	totalhouses	urbanhouses	ruralhousing	medianhhincom	black_medianhh	latino_medianhh	white_medianhh	blackpercent	statessquireindex	blackvotingpe	nonblackvotin	district_overallturnout	census_district_blackpercent	demvotepercent	nonblacknonwhite	urbanpercent	leg_senator	keepthis	leg_democrat	south	chamber	dist_from_dist_to_out	helpful
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	1	1.7029	14583	165	1223	238	60	148	612	5834	4497	1337	5.4751	4.7034	13890	2.3141	0.009689353	0.227	0.0	0.0	0.0	0.009689353	0.21929912	0.0	0.77082616	0.0	1.0	0.0	0.0	"L"	10.5940695	1.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	1.6929	14555	111	1450	173	52	102	486	10919	88	10831	4.0152	0.7654	11840	2.03	0.006556796	0.227	0.0	0.0	0.0	0.006556796	0.23253243	0.0	0.008059346	0.0	1.0	0.0	0.0	"L"	10.861342	0.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	0	1.6863	14700	175	1163	212	61	88	464	5929	1975	3954	6.1111	2.3621	22064	2.5495	0.010377751	0.227	0.0	0.0	0.0	0.01037775	0.24530575	0.0	0.33310845	0.0	1.0	0.0	0.0	"L"	10.377791	0.0
"AK"	"L"	"R"	"F"	0	0	0	0	1	0	0	1	0	1	1.6442	13885	425	778	533	65	102	654	5392	5352	40	6.9792	2.2971	16031	2.7703	0.025848437	0.227	0.0	0.0	0.0	0.025848437	0.8036594	0.0	0.9925816	0.0	1.0	0.0	0.0	"L"	10.631761	1.0
"AK"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	1.7078	10733	1869	2197	925	240	119	995	6096	6096	0	4.9759	2.1959	18500	2.5696	0.109439045	0.227	0.0	0.0	0.0	0.109439045	0.51805776	0.0	1.0	0.0	1.0	1.0	0.0	"L"	10.76589	0.0
"AK"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	1	1.7065	10593	719	2066	1766	269	188	1464	7435	7435	0	4.0061	2.0331	17735	2.6596	0.042133022	0.227	0.0	0.0	0.0	0.042133022	0.70526636	0.0	1.0	0.0	1.0	1.0	0.0	"L"	10.874527	1.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	1	0	1	1.5833	13998	199	763	376	43	82	372	6387	2728	3659	8.4502	2.2822	20891	3.7382	0.012568686	0.227	0.0	0.0	0.0	0.012568685	0.36153537	0.0	0.4271176	0.0	1.0	0.0	0.0	"L"	10.4106045	1.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	1	0	0	1.7266	14492	115	1519	335	92	109	604	7305	3360	3945	4.8717	0.9823	12351	2.285	0.006660489	0.227	0.0	0.0	0.0	0.006660489	0.23022325	0.0	0.45995894	0.0	1.0	0.0	0.0	"L"	11.653053	0.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	1	1.6967	14927	81	1318	178	73	133	257	8645	0	8645	4.6615	2.0187	9585	2.1365	0.004773973	0.227	0.0	0.0	0.0	0.004773973	0.27301905	0.0	0.0	0.0	1.0	0.0	0.0	"L"	11.324916	1.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	1	1.7172	14343	161	1918	264	42	76	368	8458	0	8458	4.5087	0.6861	17406	2.2073	0.009375728	0.227	0.0	0.0	0.0	0.009375728	0.33122867	0.0	0.0	0.0	1.0	0.0	0.0	"L"	11.800961	1.0
"AK"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	1	1.576	8826	149	3174	2381	188	79	963	5966	3749	2217	5.3071	1.6831	14355	2.7795	0.009454315	0.227	0.0	0.0	0.0	0.009454315	0.4636208	0.0	0.62839425	0.0	1.0	0.0	0.0	"L"	13.528225	1.0
"AK"	"L"	"D"	"M"	0	1	0	0	0	0	1	0	0	1	1.5862	4904	256	7185	2234	85	86	1112	7019	607	6412	5.0327	2.6942	16857	3.1168	0.016139202	0.227	0.0	0.0	0.0	0.0161392	0.62345743	1.0	0.08647955	0.0	1.0	1.0	0.0	"L"	6.1532226	1.0
"AK"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	1.5495	2206	105	12780	209	23	34	138	4651	1632	3019	3.6341	1.6305	23014	3.4895	0.006776379	0.227	0.0	0.0	0.0	0.0067763794	1.0	0.0	0.35089225	0.0	1.0	1.0	0.0	"L"	20.2354	0.0
"AK"	"L"	"D"	"M"	0	1	0	0	0	0	1	0	0	1	1.5952	2743	123	12052	609	102	50	273	5272	2510	2762	5.3477	3.8823	17053	4.1449	0.007710632	0.227	0.0	0.0	0.0	0.007710632	1.0	1.0	0.47610015	0.0	1.0	1.0	0.0	"L"	18.259342	1.0
"AL"	"L"	"D"	"F"	0	0	0	0	1	0	0	1	0	0	4.4706	35610	7804	253	301	16	101	621	21227	19272	1955	3.0609	1.1799	10613	2.1431	0.17456268	0.071	0.4437468	0.44607338	0.44566724	0.1745627	0.6508784	0.0	0.90790033	0.0	1.0	1.0	1.0	"L"	2.871996	0.0
"AL"	"U"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	13.1076	110688	17162	936	550	42	170	1528	59508	33722	25786	3.2937	1.2281	11149	1.9522	0.13093168	0.071	0.4678942	0.44215813	0.4455278	0.13093168	0.63814086	0.0	0.56668013	1.0	1.0	1.0	1.0	"U"	2.826051	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	4.3987	42211	991	321	78	12	25	349	19197	1129	18068	3.6223	1.3431	10443	1.7931	0.022529386	0.071	0.46316853	0.4195739	0.42055607	0.022529384	0.6518318	0.0	0.058811273	0.0	1.0	1.0	1.0	"L"	2.9033895	0.0
"AL"	"U"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	13.5065	104437	23156	1719	1999	112	405	3237	54404	28968	25436	4.3697	1.571	12164	2.214	0.17144337	0.071	0.6266626	0.5610273	0.57228	0.17144337	0.6043264	0.0	0.53246087	1.0	1.0	1.0	1.0	"U"	2.9245296	0.0
